timestamp,AABA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GE,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,XOM,y,forecasts,scores
2006-01-18,35.01,11.87,52.65,68.55,62.36,18.4,61.98,25.23,34.9,223.87,131.06,41.57,84.0,22.87,61.75,39.11,20.5,34.58,77.0,33.12,26.74,10.63,24.19,58.5,46.44,61.0,56.15,31.34,44.65,61.72,43.19,43.570508685314806,0.3805086853148083
2006-01-19,35.82,11.61,53.06,68.16,62.05,18.85,60.4,24.91,34.9,225.81,132.72,41.3,84.14,22.8,62.3,39.34,20.47,35.3,77.19,33.36,26.87,10.53,24.91,58.0,46.4,61.31,55.65,31.55,45.18,60.68,44.5,42.776642779011794,1.7233572209882055
2006-01-20,34.44,11.33,52.59,68.1,62.51,18.91,62.0,26.1,34.3,219.57,132.85,41.16,83.04,22.44,61.24,38.81,20.42,35.2,76.91,33.32,27.01,10.64,24.97,58.51,46.0,61.4,55.98,31.5,45.64,61.81,44.23,43.72472281921403,0.5052771807859671
2006-01-23,34.22,10.87,51.5,65.9,60.75,18.54,61.09,25.75,33.53,203.89,131.64,40.4,81.33,21.92,60.75,38.14,20.0,35.86,75.5,33.14,26.41,10.45,24.8,57.84,45.15,59.51,55.01,31.05,45.0,60.53,44.18,44.39970275168079,0.21970275168079212
2006-01-24,34.55,11.25,51.9,67.41,60.79,18.17,62.05,25.6,33.55,218.23,132.63,39.99,81.39,21.53,60.19,38.27,20.6,35.94,74.01,32.73,26.34,10.54,25.0,58.0,44.73,58.05,55.76,31.18,45.55,60.9,43.66,44.652257425316655,0.9922574253166587
2006-01-25,35.43,11.06,52.5,67.71,61.5,18.35,62.3,26.19,33.15,225.86,133.65,40.42,81.05,21.4,61.0,38.16,20.57,36.0,73.25,32.7,26.41,10.51,24.72,58.1,45.25,58.73,56.45,31.0,45.7,61.34,44.05,43.669855165337474,0.3801448346625236
2006-01-26,34.94,10.65,53.15,67.44,63.3,18.57,61.5,25.5,32.93,219.99,133.01,40.1,81.5,21.4,58.75,38.71,20.64,35.5,73.22,33.34,26.56,10.64,24.95,58.75,45.45,57.99,57.47,31.76,46.21,60.79,43.95,43.55023413030563,0.3997658696943702
2006-01-27,35.26,10.42,53.22,68.39,65.9,18.58,60.1,25.16,32.95,217.72,137.93,40.22,80.75,21.75,58.95,39.25,20.74,34.94,72.45,33.8,27.23,10.53,25.45,59.4,46.0,58.24,58.24,31.85,45.99,60.36,44.55,42.80012573569179,1.749874264308204
2006-01-30,35.06,10.17,53.15,68.52,66.53,18.69,60.85,25.22,32.9,214.83,139.55,39.72,80.21,21.83,58.71,39.52,20.92,34.9,72.9,34.41,27.82,10.33,26.15,59.13,46.89,58.4,58.54,32.25,46.4,62.88,45.41,44.5944105573656,0.8155894426343977
2006-01-31,35.2,10.79,52.51,69.0,67.0,18.7,60.41,25.5,32.9,215.5,139.73,40.0,81.5,21.69,58.15,40.03,20.87,35.04,72.4,34.87,27.91,10.22,26.02,58.95,45.95,58.17,58.0,31.91,46.44,62.75,44.76,47.130779213574954,2.3707792135749557
2006-02-01,34.45,10.71,52.45,70.0,68.1,18.4,59.38,25.15,32.66,194.71,141.4,40.45,80.9,21.24,57.67,39.88,20.6,35.01,72.3,34.27,27.96,10.16,25.75,59.1,45.36,59.3,58.12,31.68,46.05,62.77,43.92,44.34789078642116,0.42789078642115896
2006-02-02,35.01,10.73,52.6,71.35,68.75,18.46,58.71,25.15,33.07,202.11,142.27,39.96,81.45,21.56,58.35,39.88,20.66,35.33,73.16,34.55,27.97,10.4,26.1,59.74,45.4,59.73,58.2,31.8,46.3,61.9,43.84,43.42717358942466,0.41282641057534164
2006-02-03,34.0,10.32,52.57,71.7,68.2,18.29,58.12,24.98,32.8,197.01,141.55,39.85,80.55,21.14,57.26,39.45,20.51,35.45,71.75,34.5,27.48,10.36,25.78,59.39,44.9,59.36,57.76,31.35,45.99,61.65,37.7,44.3539559370222,6.653955937022197
2006-02-06,33.9,10.29,52.22,70.65,68.5,18.03,58.0,25.2,32.85,192.85,142.61,39.77,79.94,20.85,57.5,39.4,20.42,36.0,71.0,34.24,27.51,10.68,25.21,59.58,44.63,59.34,57.35,31.71,45.44,61.7,38.34,40.30195487263445,1.9619548726344433
2006-02-07,33.01,9.75,52.1,71.3,68.3,17.84,58.54,25.57,32.66,191.69,142.35,39.34,79.5,20.62,57.0,39.2,20.7,36.3,71.16,33.7,26.95,10.54,25.05,59.47,43.93,58.5,57.21,31.61,45.0,61.59,38.08,38.18811494223843,0.10811494223842999
