,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic,quant_tracking_proj
0.01,0.015574528637495564,0.015784418356456786,0.013934542867307019,0.013118107435076496,0.015400213447171832
0.02,0.01709174635001744,0.01716855499139385,0.014286533064548022,0.013409117859491403,0.016891828279234904
0.03,0.018151382196206118,0.017807566953778286,0.014657801781601159,0.01395021003345444,0.019206328672710746
0.04,0.01945145154857002,0.019718583918157038,0.015418863124306043,0.014219354699610843,0.0211846318036286
0.05,0.019404917190402785,0.020356733467725995,0.016051928031650547,0.014827643205444694,0.023384610961985547
0.06,0.02032847148108619,0.02099082249028885,0.01650582667658439,0.015566695054421813,0.02293432367071639
0.07,0.021085723833856145,0.020860849692226405,0.017193007988098682,0.01649208197233808,0.024310662656447046
0.08,0.0209804376026361,0.020969585574708297,0.01830092098501916,0.017207615105160452,0.026280251824542102
0.09,0.02113775607372192,0.02122284747151343,0.01822202817933875,0.018208121772689545,0.02657081307561564
0.1,0.022086122699783328,0.021853918049222213,0.018369231266776635,0.01883299375828726,0.027830115455515676
0.11,0.021875729906679752,0.021750428511367687,0.019262960447592268,0.019219031294805056,0.02857015548584387
0.12,0.02215640934424287,0.022095537373018705,0.019644254713625065,0.019686944147990056,0.02958595201391361
0.13,0.022775513944137217,0.022865150976143517,0.019943673662990654,0.020333430354775087,0.028005131356251965
0.14,0.022910247979618322,0.02327490486508631,0.020912378857949842,0.020973430498510554,0.030268300220274613
0.15,0.022607020040317803,0.023187783203791747,0.021706193920708335,0.02182899791224232,0.030027579243160896
0.16,0.02302200230695429,0.023588877030712687,0.021984573590763567,0.02185176201718358,0.030869743324385798
0.17,0.023170193575743205,0.023702302282878597,0.022144425399494762,0.02238663763210188,0.030735422528378766
0.18,0.0235713772373324,0.023797544998185326,0.022646834765297927,0.02324270811997598,0.0305345881439798
0.19,0.02336017593221432,0.023786585168655575,0.023147698974806733,0.023511044274117876,0.03199799489020404
0.2,0.023511601249061216,0.023440182687781395,0.02374524325431474,0.0235441213989773,0.029581783685305545
0.21,0.023173607293137707,0.02336558397924459,0.02417357495265712,0.023890308276647645,0.029007973725156226
0.22,0.023771546845186127,0.02391998965104622,0.02473367614242748,0.024576447506009937,0.02766453219494843
0.23,0.023356061504407295,0.023712992608403503,0.025015415629076256,0.02545120360488558,0.026406774971342754
0.24,0.02321897380061735,0.024121542712791384,0.02540310612349034,0.026147655854166004,0.027742850058751888
0.25,0.023413106518762883,0.023816769617196528,0.02652571607214085,0.026360294513976496,0.026099845843709245
0.26,0.023364523930158948,0.023783979963275602,0.02687785000485109,0.02690539331414466,0.026579185666699014
0.27,0.0234711397144695,0.023632195307755618,0.027396878784285414,0.02756077315308907,0.02630925045546178
0.28,0.02345363992108923,0.02384787037935384,0.027680864137641085,0.028120532971119962,0.026015814495003398
0.29,0.02361230591219919,0.024125782909134027,0.028046473270592797,0.028414364204118744,0.025768769157243007
0.3,0.023411453560866585,0.0236470719288222,0.02850563622708767,0.028318941819475425,0.026691227464973447
0.31,0.023355702165734165,0.024068270754503393,0.028412675312355123,0.028789118506300976,0.02591647531882321
0.32,0.023468462641354836,0.023735792647212053,0.028933482818221324,0.029163800940748618,0.025241709158464732
0.33,0.02323744380841499,0.024125854776868644,0.02920302275691816,0.029304014890994597,0.02515079647416894
0.34,0.023444207280920195,0.023394995849638327,0.0297527570259694,0.02972489031187003,0.024653148345784432
0.35,0.023283421191638915,0.02356490914121651,0.029916561560104783,0.03001570310001474,0.02477983319498796
0.36,0.023264412175831604,0.023826669397640592,0.030162295311708335,0.02985806122412314,0.02469105857579712
0.37,0.02316904369198927,0.023879078943113106,0.02969244202968858,0.03018531095372078,0.025156689628407888
0.38,0.023086844970516274,0.023749052244249693,0.029922814053016847,0.030209889718961238,0.024855869258217183
0.39,0.023106734366072686,0.023241324666084546,0.030029483738128367,0.0304104366324217,0.025984911369116282
0.4,0.023089432208962632,0.0233831915742268,0.030810075137716553,0.03023004861852248,0.025618619492685665
0.41,0.023045682725511968,0.02311129796722113,0.030881619467531953,0.030398865927147682,0.02536566303375268
0.42,0.02285311313059445,0.023156898044838278,0.0304772736256194,0.02990750622554251,0.0266955934298517
0.43,0.022738214589868796,0.022877925465972414,0.03043417095178034,0.03040242338001141,0.02659190625572694
0.44,0.022623747255550844,0.0231255637125434,0.030723007377222937,0.030337490881781136,0.025044126789057375
0.45,0.02243665757539823,0.02285623937705047,0.030256927151270787,0.030350804379619723,0.02529882604055494
0.46,0.022275476213576537,0.022817179263283853,0.030142621519355775,0.03040360919763267,0.026273083018013645
0.47,0.022292742436819286,0.022521982543327268,0.029987171609370117,0.030083869646302944,0.025935322632227663
0.48,0.02195435320835535,0.02266638278911492,0.030017356057911025,0.03039645835803787,0.025162331245575657
0.49,0.021979506915472773,0.022155600832228377,0.029948147429470814,0.03032884878669297,0.025802636827183263
0.5,0.021895385732098652,0.02244215545709677,0.03029731681812793,0.029918394187337632,0.025871432216149414
0.5,0.021791914161177785,0.02228771169539581,0.03033378969344819,0.02966513229053251,0.02453853727599727
0.51,0.02160268641592013,0.021823464096676466,0.029941032523743295,0.029043584187661037,0.025325237433028246
0.52,0.021673548002256647,0.021563410698949653,0.02982676282569559,0.028878144662563016,0.0242651524134982
0.53,0.021498801605525187,0.02200651121675668,0.030270689822450764,0.028612791019407877,0.024132233038316294
0.54,0.021682513502150627,0.021468904627922752,0.03077617153390899,0.02853335920571779,0.02498188933087545
0.55,0.02133523064152734,0.021484248389264403,0.03034428238270288,0.028336693149926873,0.024837542985888784
0.56,0.021327073653647804,0.021554499099856607,0.030539960257142753,0.028288074627455632,0.0244412822641211
0.57,0.021172342421008378,0.021336146955143756,0.030327609068270756,0.02788180632364197,0.02526028696786435
0.58,0.02094188056301185,0.021478463036627406,0.029880699560528814,0.027784102138424444,0.023924768855398536
0.59,0.020819831182691356,0.02109883969542452,0.02946476504640858,0.028067009475760803,0.025189353513793207
0.6,0.020924776042172,0.02130014122009854,0.02865598352791523,0.027969449026012522,0.025534749846382748
0.61,0.02065410418665488,0.021015688726467804,0.028803420185490626,0.027889298534976233,0.025217849070570522
0.62,0.020633100841211848,0.020881799136868523,0.029323976154285666,0.02754444121039639,0.024899888245672686
0.63,0.020428673070081817,0.02061673296465185,0.02949856084861421,0.02758772355357201,0.023929853497622968
0.64,0.02036559116601807,0.02058996223350546,0.02915641653101632,0.027280614756601946,0.023611120094577942
0.65,0.019956268483483006,0.020110137303307005,0.028656270998853716,0.026707900779405578,0.022436675542331887
0.66,0.019846436618048156,0.02019743863393811,0.028492232894580815,0.026673781572394167,0.022915925530653386
0.67,0.019652932742580585,0.019853353887505462,0.028114855420084888,0.026627301115027903,0.022248885151766713
0.68,0.019486379267595933,0.019762620872546183,0.028189382260887075,0.0266304812622849,0.023203126965133374
0.69,0.01949683602298333,0.019777713096816647,0.027945031963174986,0.026588672207669018,0.021690221316688796
0.7,0.01909464621310941,0.019310878259650947,0.027653069291276342,0.025904401539406884,0.021083531867950228
0.71,0.01877823054450591,0.01885446424400535,0.02720517160218335,0.025714059844262623,0.02277777777777779
0.72,0.018475146340674625,0.018959930144561953,0.026752368940202453,0.025085217166327087,0.022255748520423023
0.73,0.01833324349866506,0.018870490748825866,0.02585790311510696,0.02422864360431063,0.023631764101347884
0.74,0.017828372662951116,0.018585050073844114,0.02572850525892149,0.023769157243009976,0.02344246448835566
0.75,0.01741755872492266,0.017821545228162095,0.025282763601867132,0.023079514461584908,0.023862531397216568
0.76,0.017036677698363943,0.01753349934780032,0.024624347351134983,0.022753989557618173,0.023979100862772187
0.77,0.016567057986481698,0.016940195264634982,0.024400173919917792,0.022287837463931388,0.027481916281276
0.78,0.016393012300162785,0.01670391212013411,0.023724114140336126,0.021349837758589094,0.027383816823518016
0.79,0.015538810373388817,0.01575028118251171,0.023064026964774026,0.021030367711264177,0.026293457520778794
0.8,0.015222143167714112,0.015274265242248139,0.02240616768898517,0.02049276112243026,0.024742372138316628
0.81,0.014926425406681527,0.014859318909478978,0.02179344135053846,0.01980870605737199,0.022378642346625285
0.82,0.014133598525274054,0.014401090233534173,0.0211591007909044,0.01898445500900141,0.02322952039067297
0.83,0.013717466374883663,0.014172928143045539,0.02048693983592596,0.018394654477898873,0.023548882636395985
0.84,0.0133855632094693,0.013429546263057474,0.020040910707933127,0.017914901415435044,0.022936300033418542
0.85,0.01313505025351344,0.013334195746148794,0.019386788554344593,0.016992856347178665,0.02366029559199251
0.86,0.01290970897160866,0.012653644233153313,0.017795529108229232,0.016360096877706284,0.024242370341623326
0.87,0.01222367754384831,0.012072431896337985,0.016805784633959674,0.015759246682405713,0.024016202580770356
0.88,0.01158899561247481,0.011602039606308559,0.016000039527254057,0.014944661844341687,0.02185699039487731
0.89,0.010941323588068527,0.011423106914035416,0.015321033170552924,0.014538070135722227,0.021440804343685883
0.9,0.010446136929594774,0.010621584036738787,0.013970764205556098,0.013110507422140295,0.020045438375214285
0.91,0.009780246434462007,0.010002569271512706,0.012569037942570492,0.012238733834251432,0.020180100542960794
0.92,0.009733155101351448,0.009663766803574683,0.010975748232952057,0.011251935937101333,0.021261260775668436
0.93,0.009109936073650054,0.00897588478164785,0.010420534049135963,0.010275702596940568,0.021119142330455032
0.94,0.007608349593408287,0.007883531149272871,0.00990779369648098,0.009398395193485894,0.01947204165453895
0.95,0.00681679836429036,0.007144712870433257,0.008511259877321778,0.008506283036699263,0.015112311302279292
0.96,0.0057289005314618896,0.00587437879326886,0.007350560029322031,0.006891325205092544,0.013402326358569736
0.97,0.004748337160290206,0.004792733453352454,0.00562927388434326,0.00527029454991035,0.010468074555587905
0.98,0.0033234874536902117,0.003925739069815901,0.004089902942624378,0.0038719460704519254,0.009119961622629756
0.99,0.001625755958733548,0.002047314123087871,0.001979722518676629,0.002257203842049095,0.005441124155104949
