,alpha
0,0.01
1,0.02
2,0.03
3,0.04
4,0.05
5,0.060000000000000005
6,0.06999999999999999
7,0.08
8,0.09
9,0.09999999999999999
10,0.11
11,0.12
12,0.13
13,0.14
14,0.15000000000000002
15,0.16
16,0.17
17,0.18000000000000002
18,0.19
19,0.2
20,0.21000000000000002
21,0.22
22,0.23
23,0.24000000000000002
24,0.25
25,0.26
26,0.27
27,0.28
28,0.29000000000000004
29,0.3
30,0.31
31,0.32
32,0.33
33,0.34
34,0.35000000000000003
35,0.36000000000000004
36,0.37
37,0.38
38,0.39
39,0.4
40,0.41000000000000003
41,0.42000000000000004
42,0.43
43,0.44
44,0.45
45,0.46
46,0.47000000000000003
47,0.48000000000000004
48,0.49
49,0.5
50,0.51
51,0.52
52,0.53
53,0.54
54,0.55
55,0.56
56,0.5700000000000001
57,0.5800000000000001
58,0.59
59,0.6
60,0.61
61,0.62
62,0.63
63,0.64
64,0.65
65,0.66
66,0.67
67,0.68
68,0.6900000000000001
69,0.7000000000000001
70,0.7100000000000001
71,0.72
72,0.73
73,0.74
74,0.75
75,0.76
76,0.77
77,0.78
78,0.79
79,0.8
80,0.81
81,0.8200000000000001
82,0.8300000000000001
83,0.8400000000000001
84,0.85
85,0.86
86,0.87
87,0.88
88,0.89
89,0.9
90,0.91
91,0.92
92,0.93
93,0.9400000000000001
94,0.9500000000000001
95,0.9600000000000001
96,0.97
97,0.98
98,0.99
