,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic_fixed,quant_tracking_proj
0.01,8.831929669012117,8.474895344475613,7.991747586562052,9.085475087080654,8.851043650030423
0.02,7.619821702293355,6.907026701411683,7.142633442314743,8.454607961416697,7.402878635351944
0.03,6.367448675333632,6.314057528667508,6.9596268417032405,7.830899943857799,6.484703355164412
0.04,5.620750347169087,5.793374546546819,6.735343382198566,7.2307245268620495,5.8305855873107575
0.05,5.337654428643099,5.338715745802475,6.394595793102803,6.675868877870334,5.4359790454065555
0.06,5.117799473972529,5.135331601734267,6.176516521414596,6.1619320919684375,5.157920721584009
0.07,4.843715603639328,4.866608236229039,6.075054258401468,5.701035525318886,4.929501516605535
0.08,4.660571492342256,4.7076870317284,5.968825222951238,5.299919585398001,4.741814465361659
0.09,4.520993646105432,4.484610741733213,5.757860741488455,4.955056739771306,4.595035340598863
0.1,4.537524233603541,4.375572422267499,5.655943620333718,4.664458819011215,4.4612523978162075
0.11,4.30960903796912,4.207314573534476,5.251819342952081,4.4240228729340245,4.342893591414451
0.12,4.138211914623859,4.156448149359309,5.17807732138706,4.224804767363981,4.242924909089734
0.13,4.109393104531611,4.120599999018216,4.844430949427583,4.056580552164319,4.145566872731948
0.14,3.9969718848008013,4.002621971872507,4.645009115991447,3.912402913230225,4.037616827859822
0.15,3.9630807855519214,3.8835233137623324,4.576713805064396,3.7871724209826603,3.932370118768783
0.16,3.889322216423528,3.809728863816665,4.460583525435267,3.6772476366472735,3.834536066290125
0.17,3.7463829244035654,3.730712640482089,4.278167386959664,3.5789140810762836,3.7426629805642517
0.18,3.59254001792577,3.5851574201053937,4.114093762727197,3.4902855447405865,3.63181542408205
0.19,3.538046509038351,3.52247538540867,4.033648523457473,3.4099771558605063,3.5393266841487323
0.2,3.3566975784641766,3.437421891315868,3.9307535701128913,3.337086725555715,3.458575284589224
0.21,3.426252262347826,3.392302849721515,3.878484127934313,3.2713054536781807,3.382677971652321
0.22,3.345951524544787,3.338023629919664,3.7355650286781725,3.2110488077814936,3.3203075883110147
0.23,3.2378676542115685,3.2942389018074727,3.609366575548093,3.1550643092527,3.2670356666360107
0.24,3.2329163139988317,3.2730855194181006,3.55829008913433,3.102790844792052,3.2179020853225055
