,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.01,8.18175225937356,8.18175225937356,8.10622970638867,8.161819267656757
0.02,7.688212364943986,7.691943403840092,7.65613763749372,7.727420786989446
0.03,7.348257109068608,7.351861894499137,7.034084367482125,7.371974276542841
0.04,6.9703648050004885,6.96313704824893,6.540958525522284,6.9410725628470145
0.05,6.408224910570839,6.41054251530037,6.334283702622493,6.430437419600747
0.06,5.785364233008747,6.004436500899305,6.0826210647012235,5.961613495662583
0.07,5.492327953037009,5.503073680517406,5.909417730175304,5.535602845487782
0.08,5.349850709209711,5.326265976979658,5.794394789865983,5.278427576485042
0.09,5.104321658153703,5.100801725410143,5.7037915062881925,5.038522171007248
0.1,4.86784622155545,4.881574838146549,5.560467005697783,4.814507763820324
0.11,4.614170182547422,4.600950095194228,5.26308177866326,4.588305341794996
0.12,4.440106492937213,4.3140805129787365,5.069479591136313,4.36322270555289
0.13,4.1340696105556685,4.119423508289389,4.883162354700892,4.16746243993861
0.14,4.024155017330936,3.9969699394626725,4.703455312462312,4.061608768114269
0.15,3.8971726530219204,3.9009255914456364,4.623079467505839,3.939185401283835
0.16,3.8235336622066587,3.8074776358098035,4.4711140259825495,3.80614470972017
0.17,3.7793284063313095,3.751207934087372,4.3735835774022025,3.7249872109739033
0.18,3.6377430299740015,3.6414189344451238,4.21464333684267,3.6236666427906803
0.19,3.5501694006046316,3.5199130665042704,4.098442386146563,3.5464343392862174
0.2,3.438196976054582,3.4558690316146072,3.9872969690628928,3.480901733196188
0.21,3.437311599697268,3.3738681355757194,3.9070304454630422,3.4157943102489763
0.22,3.288329837797774,3.3018774494730474,3.768038573111027,3.3255664425884737
0.23,3.274572473488696,3.270197626799782,3.6794879796038558,3.244261264810323
0.24,3.200115410384389,3.2176562399677286,3.5900826284134886,3.1758157788888854
0.25,3.1271089496897178,3.167751450534801,3.5051744825873365,3.1220989256024194
0.26,3.053554296223991,3.095278197461001,3.388788875417527,3.0622652140611595
0.27,3.0382957270955964,3.0374516000706473,3.33854665819641,3.008820203333375
0.28,2.9712160736298565,2.977555462045931,3.281214060940239,2.9554366478047758
0.29,2.8905412394412298,2.9097885766873297,3.1819463204850624,2.9054316185257245
0.3,2.864873332963434,2.8607620655808117,3.125475408415266,2.857723135780077
0.31,2.779604221666319,2.789510774541847,3.056925913271054,2.8083660757631224
0.32,2.7584799898873844,2.754797864081542,2.9908610749900277,2.7616922719638235
0.33,2.7119406978673926,2.689989674653892,2.9447856851722123,2.7077604147418284
0.34,2.640523996208867,2.652225944578006,2.893190112529672,2.65503215910176
0.35,2.6303699451528044,2.6211196721745464,2.7546337461840573,2.6081453758440447
0.36,2.576697821807484,2.5719263323247468,2.703556247852653,2.563116824630212
0.37,2.47908383099238,2.5178858858786115,2.649081257941849,2.523646731684937
0.38,2.4589674305387166,2.4771175067812776,2.614304783007309,2.480747768838252
0.39,2.4222660903259405,2.427650579052934,2.5632896483474576,2.432251465156939
0.4,2.392682822402374,2.3875272294158654,2.4942701426286513,2.3944974913671913
0.41,2.3591757592981155,2.36337482098432,2.4679602917617407,2.361833271869155
