,b
0,1.0
1,1.0009000900090008
2,1.0018001800180019
3,1.0027002700270027
4,1.0036003600360035
5,1.0045004500450045
6,1.0054005400540054
7,1.0063006300630064
8,1.0072007200720072
9,1.008100810081008
10,1.009000900090009
11,1.00990099009901
12,1.0108010801080107
13,1.0117011701170118
14,1.0126012601260126
15,1.0135013501350134
16,1.0144014401440145
17,1.0153015301530153
18,1.016201620162016
19,1.0171017101710171
20,1.018001800180018
21,1.018901890189019
22,1.0198019801980198
23,1.0207020702070206
24,1.0216021602160217
25,1.0225022502250225
26,1.0234023402340233
27,1.0243024302430244
28,1.0252025202520252
29,1.026102610261026
30,1.027002700270027
31,1.0279027902790279
32,1.028802880288029
33,1.0297029702970297
34,1.0306030603060305
35,1.0315031503150316
36,1.0324032403240324
37,1.0333033303330332
38,1.0342034203420343
39,1.035103510351035
40,1.036003600360036
41,1.036903690369037
42,1.0378037803780378
43,1.0387038703870386
44,1.0396039603960396
45,1.0405040504050405
46,1.0414041404140415
47,1.0423042304230423
48,1.0432043204320431
49,1.0441044104410442
50,1.045004500450045
51,1.0459045904590458
52,1.0468046804680469
53,1.0477047704770477
54,1.0486048604860485
55,1.0495049504950495
56,1.0504050405040504
57,1.0513051305130512
58,1.0522052205220522
59,1.053105310531053
60,1.054005400540054
61,1.054905490549055
62,1.0558055805580557
63,1.0567056705670568
64,1.0576057605760576
65,1.0585058505850584
66,1.0594059405940595
67,1.0603060306030603
68,1.061206120612061
69,1.0621062106210621
70,1.063006300630063
71,1.063906390639064
72,1.0648064806480648
73,1.0657065706570656
74,1.0666066606660667
75,1.0675067506750675
76,1.0684068406840683
77,1.0693069306930694
78,1.0702070207020702
79,1.071107110711071
80,1.072007200720072
81,1.0729072907290729
82,1.073807380738074
83,1.0747074707470747
84,1.0756075607560756
85,1.0765076507650766
86,1.0774077407740774
87,1.0783078307830782
88,1.0792079207920793
89,1.08010801080108
90,1.081008100810081
91,1.081908190819082
92,1.0828082808280828
93,1.0837083708370836
94,1.0846084608460846
95,1.0855085508550855
96,1.0864086408640865
97,1.0873087308730873
98,1.0882088208820881
99,1.0891089108910892
100,1.09000900090009
101,1.0909090909090908
102,1.0918091809180919
103,1.0927092709270927
104,1.0936093609360935
105,1.0945094509450946
106,1.0954095409540954
107,1.0963096309630962
108,1.0972097209720972
109,1.098109810981098
110,1.099009900990099
111,1.0999099909991
112,1.1008100810081007
113,1.1017101710171018
114,1.1026102610261026
115,1.1035103510351034
116,1.1044104410441045
117,1.1053105310531053
118,1.106210621062106
119,1.1071107110711071
120,1.108010801080108
121,1.108910891089109
122,1.1098109810981098
123,1.1107110711071106
124,1.1116111611161117
125,1.1125112511251125
126,1.1134113411341133
127,1.1143114311431144
128,1.1152115211521152
129,1.116111611161116
130,1.117011701170117
131,1.1179117911791179
132,1.118811881188119
133,1.1197119711971197
134,1.1206120612061206
135,1.1215121512151216
136,1.1224122412241224
137,1.1233123312331232
138,1.1242124212421243
139,1.125112511251125
140,1.126012601260126
141,1.126912691269127
142,1.1278127812781278
143,1.1287128712871288
144,1.1296129612961296
145,1.1305130513051305
146,1.1314131413141313
147,1.1323132313231323
148,1.1332133213321331
149,1.1341134113411342
150,1.135013501350135
151,1.1359135913591358
152,1.1368136813681369
153,1.1377137713771377
154,1.1386138613861385
155,1.1395139513951396
156,1.1404140414041404
157,1.1413141314131412
158,1.1422142214221422
159,1.143114311431143
160,1.144014401440144
161,1.144914491449145
162,1.1458145814581457
163,1.1467146714671468
164,1.1476147614761476
165,1.1485148514851484
166,1.1494149414941495
167,1.1503150315031503
168,1.151215121512151
169,1.1521152115211521
170,1.153015301530153
171,1.153915391539154
172,1.1548154815481548
173,1.1557155715571557
174,1.1566156615661567
175,1.1575157515751575
176,1.1584158415841583
177,1.1593159315931594
178,1.1602160216021602
179,1.161116111611161
180,1.162016201620162
181,1.1629162916291629
182,1.163816381638164
183,1.1647164716471647
184,1.1656165616561656
185,1.1665166516651666
186,1.1674167416741674
187,1.1683168316831682
188,1.1692169216921693
189,1.17011701170117
190,1.171017101710171
191,1.171917191719172
192,1.1728172817281728
193,1.1737173717371738
194,1.1746174617461747
195,1.1755175517551755
196,1.1764176417641763
197,1.1773177317731773
198,1.1782178217821782
199,1.1791179117911792
200,1.18001800180018
201,1.1809180918091808
202,1.1818181818181819
203,1.1827182718271827
204,1.1836183618361835
205,1.1845184518451846
206,1.1854185418541854
207,1.1863186318631862
208,1.1872187218721872
209,1.188118811881188
210,1.189018901890189
211,1.18991899189919
212,1.1908190819081907
213,1.1917191719171918
214,1.1926192619261926
215,1.1935193519351934
216,1.1944194419441945
217,1.1953195319531953
218,1.1962196219621961
219,1.1971197119711972
220,1.198019801980198
221,1.198919891989199
222,1.1998199819981998
223,1.2007200720072007
224,1.2016201620162017
225,1.2025202520252025
226,1.2034203420342033
227,1.2043204320432044
228,1.2052205220522052
229,1.206120612061206
230,1.207020702070207
231,1.2079207920792079
232,1.208820882088209
233,1.2097209720972097
234,1.2106210621062106
235,1.2115211521152116
236,1.2124212421242124
237,1.2133213321332132
238,1.2142214221422143
239,1.215121512151215
240,1.216021602160216
241,1.216921692169217
242,1.2178217821782178
243,1.2187218721872188
244,1.2196219621962197
245,1.2205220522052205
246,1.2214221422142213
247,1.2223222322232223
248,1.2232223222322232
249,1.2241224122412242
250,1.225022502250225
251,1.2259225922592258
252,1.2268226822682269
253,1.2277227722772277
254,1.2286228622862285
255,1.2295229522952296
256,1.2304230423042304
257,1.2313231323132312
258,1.2322232223222322
259,1.233123312331233
260,1.234023402340234
261,1.234923492349235
262,1.2358235823582358
263,1.2367236723672368
264,1.2376237623762376
265,1.2385238523852384
266,1.2394239423942395
267,1.2403240324032403
268,1.2412241224122411
269,1.2421242124212422
270,1.243024302430243
271,1.243924392439244
272,1.2448244824482448
273,1.2457245724572457
274,1.2466246624662467
275,1.2475247524752475
276,1.2484248424842483
277,1.2493249324932494
278,1.2502250225022502
279,1.251125112511251
280,1.252025202520252
281,1.2529252925292529
282,1.253825382538254
283,1.2547254725472547
284,1.2556255625562556
285,1.2565256525652564
286,1.2574257425742574
287,1.2583258325832583
288,1.2592259225922593
289,1.2601260126012601
290,1.261026102610261
291,1.261926192619262
292,1.2628262826282628
293,1.2637263726372638
294,1.2646264626462647
295,1.2655265526552655
296,1.2664266426642663
297,1.2673267326732673
298,1.2682268226822682
299,1.2691269126912692
300,1.27002700270027
301,1.2709270927092708
302,1.2718271827182719
303,1.2727272727272727
304,1.2736273627362737
305,1.2745274527452746
306,1.2754275427542754
307,1.2763276327632762
308,1.2772277227722773
309,1.278127812781278
310,1.2790279027902791
311,1.27992799279928
312,1.2808280828082808
313,1.2817281728172818
314,1.2826282628262826
315,1.2835283528352834
316,1.2844284428442845
317,1.2853285328532853
318,1.2862286228622861
319,1.2871287128712872
320,1.288028802880288
321,1.288928892889289
322,1.2898289828982898
323,1.2907290729072907
324,1.2916291629162915
325,1.2925292529252925
326,1.2934293429342933
327,1.2943294329432944
328,1.2952295229522952
329,1.296129612961296
330,1.297029702970297
331,1.297929792979298
332,1.298829882988299
333,1.2997299729972998
334,1.3006300630063006
335,1.3015301530153014
336,1.3024302430243024
337,1.3033303330333033
338,1.3042304230423043
339,1.3051305130513051
340,1.306030603060306
341,1.306930693069307
342,1.3078307830783078
343,1.3087308730873088
344,1.3096309630963097
345,1.3105310531053105
346,1.3114311431143113
347,1.3123312331233123
348,1.3132313231323132
349,1.3141314131413142
350,1.315031503150315
351,1.3159315931593158
352,1.316831683168317
353,1.3177317731773177
354,1.3186318631863188
355,1.3195319531953196
