,scale
0,1e-06
1,1.95983198679904e-06
2,3.23956797119856e-06
3,4.839207953198562e-06
4,6.75875193279904e-06
5,8.998199910000003e-06
6,1.1557551884801444e-05
7,1.4436807857203365e-05
8,1.7635967827205768e-05
9,2.1155031794808644e-05
10,2.499399976001201e-05
11,2.9152871722815847e-05
12,3.363164768322018e-05
13,3.843032764122497e-05
14,4.354891159683026e-05
15,4.898739955003601e-05
16,5.474579150084226e-05
17,6.0824087449248986e-05
18,6.72222873952562e-05
19,7.394039133886386e-05
20,8.097839928007205e-05
21,8.833631121888068e-05
22,9.601412715528978e-05
23,0.00010401184708929943
24,0.00011232947102090948
25,0.00012096699895012009
26,0.0001299244308769311
27,0.0001392017668013426
28,0.00014879900672335464
29,0.0001587161506429671
30,0.00016895319856018002
31,0.00017951015047499354
32,0.00019038700638740743
33,0.0002015837662974219
34,0.00021310043020503672
35,0.00022493699811025204
36,0.00023709347001306798
37,0.0002495698459134843
38,0.0002623661258115011
39,0.00027548230970711837
40,0.0002889183976003362
41,0.0003026743894911544
42,0.0003167502853795731
43,0.0003311460852655924
44,0.000345861789149212
45,0.00036089739703043224
46,0.00037625290890925286
47,0.00039192832478567393
48,0.0004079236446596956
49,0.0004242388685313176
50,0.0004408739964005403
51,0.0004578290282673633
52,0.00047510396413178677
53,0.0004926988039938108
54,0.0005106135478534353
55,0.0005288481957106602
56,0.0005474027475654858
57,0.0005662772034179117
58,0.0005854715632679381
59,0.000604985827115565
60,0.0006248199949607922
61,0.0006449740668036202
62,0.0006654480426440485
63,0.0006862419224820774
64,0.0007073557063177066
65,0.0007287893941509364
66,0.0007505429859817667
67,0.0007726164818101974
68,0.0007950098816362287
69,0.0008177231854598603
70,0.0008407563932810924
71,0.0008641095050999252
72,0.0008877825209163582
73,0.0009117754407303919
74,0.0009360882645420259
75,0.0009607209923512605
76,0.0009856736241580957
77,0.001010946159962531
78,0.001036538599764567
79,0.0010624509435642035
80,0.0010886831913614408
81,0.0011152353431562781
82,0.001142107398948716
83,0.0011692993587387544
84,0.001196811222526393
85,0.0012246429903116328
86,0.0012527946620944726
87,0.0012812662378749128
88,0.0013100577176529537
89,0.0013391691014285948
90,0.001368600389201837
91,0.0013983515809726792
92,0.0014284226767411216
93,0.001458813676507165
94,0.0014895245802708085
95,0.0015205553880320531
96,0.0015519060997908976
97,0.0015835767155473427
98,0.0016155672353013882
99,0.0016478776590530342
100,0.001680507986802281
101,0.0017134582185491282
102,0.0017467283542935755
103,0.0017803183940356235
104,0.001814228337775272
105,0.0018484581855125212
106,0.0018830079372473706
107,0.0019178775929798205
108,0.0019530671527098707
109,0.0019885766164375214
110,0.002024405984162773
111,0.002060555255885625
112,0.0020970244316060776
113,0.00213381351132413
114,0.002170922495039783
115,0.002208351382753037
116,0.0022461001744638917
117,0.002284168870172346
118,0.002322557469878401
119,0.002361265973582057
120,0.002400294381283313
121,0.00243964269298217
122,0.0024793109086786273
123,0.002519299028372685
124,0.0025596070520643426
125,0.002600234979753601
126,0.0026411828114404606
127,0.0026824505471249203
128,0.00272403818680698
129,0.0027659457304866405
130,0.0028081731781639013
131,0.0028507205298387633
132,0.002893587785511225
133,0.0029367749451812875
134,0.00298028200884895
135,0.0030241089765142134
136,0.003068255848177078
137,0.003112722623837542
138,0.003157509303495607
139,0.003202615887151272
140,0.0032480423748045373
141,0.0032937887664554045
142,0.0033398550621038707
143,0.003386241261749938
144,0.0034329473653936056
145,0.0034799733730348737
146,0.003527319284673743
147,0.0035749851003102117
148,0.0036229708199442814
149,0.0036712764435759514
150,0.0037199019712052216
151,0.0037688474028320924
152,0.003818112738456565
153,0.0038676979780786365
154,0.003917603121698309
155,0.003967828169315582
156,0.004018373120930455
157,0.004069237976542929
158,0.0041204227361530035
159,0.00417192739976068
160,0.004223751967365955
161,0.00427589643896883
162,0.004328360814569307
163,0.0043811450941673834
164,0.00443424927776306
165,0.004487673365356338
166,0.004541417356947216
167,0.004595481252535695
168,0.0046498650521217735
169,0.004704568755705455
170,0.004759592363286735
171,0.004814935874865616
172,0.004870599290442096
173,0.004926582610016178
174,0.0049828858335878605
175,0.005039508961157142
176,0.0050964519927240255
177,0.005153714928288509
178,0.005211297767850592
179,0.005269200511410277
180,0.0053274231589675635
181,0.0053859657105224485
182,0.005444828166074935
183,0.005504010525625021
184,0.005563512789172708
185,0.0056233349567179946
186,0.0056834770282608825
187,0.005743939003801371
188,0.005804720883339459
189,0.0058658226668751486
190,0.00592724435440844
191,0.00598898594593933
192,0.006051047441467821
193,0.006113428840993911
194,0.006176130144517603
195,0.0062391513520388955
196,0.0063024924635577875
197,0.0063661534790742805
198,0.006430134398588374
199,0.006494435222100068
200,0.0065590559496093645
201,0.006623996581116259
202,0.006689257116620754
203,0.0067548375561228505
204,0.006820737899622547
205,0.0068869581471198435
206,0.006953498298614741
207,0.007020358354107238
208,0.0070875383135973365
209,0.007155038177085036
210,0.007222857944570337
211,0.007290997616053237
212,0.007359457191533737
213,0.007428236671011838
214,0.007497336054487538
215,0.00756675534196084
216,0.007636494533431742
217,0.007706553628900245
218,0.007776932628366347
219,0.007847631531830051
220,0.007918650339291355
221,0.007989989050750261
222,0.008061647666206767
223,0.008133626185660872
224,0.008205924609112578
225,0.008278542936561885
226,0.008351481168008792
227,0.008424739303453298
228,0.008498317342895407
229,0.008572215286335115
230,0.008646433133772424
231,0.008720970885207334
232,0.008795828540639846
233,0.008871006100069955
234,0.008946503563497665
235,0.009022320930922976
236,0.009098458202345889
237,0.0091749153777664
238,0.009251692457184513
239,0.009328789440600227
240,0.00940620632801354
241,0.009483943119424456
242,0.009561999814832972
243,0.009640376414239087
244,0.0097190729176428
245,0.009798089325044118
246,0.009877425636443034
247,0.00995708185183955
248,0.010037057971233668
249,0.010117353994625386
250,0.010197969922014704
251,0.010278905753401625
252,0.010360161488786145
253,0.010441737128168265
254,0.010523632671547985
255,0.010605848118925306
256,0.010688383470300227
257,0.010771238725672748
258,0.01085441388504287
259,0.010937908948410593
260,0.011021723915775916
261,0.01110585878713884
262,0.011190313562499367
263,0.011275088241857491
264,0.011360182825213217
265,0.011445597312566542
266,0.011531331703917468
267,0.011617385999265996
268,0.011703760198612122
269,0.01179045430195585
270,0.011877468309297177
271,0.011964802220636105
272,0.012052456035972638
273,0.012140429755306766
274,0.012228723378638496
275,0.012317336905967827
276,0.012406270337294757
277,0.012495523672619288
278,0.01258509691194142
279,0.012674990055261152
280,0.012765203102578485
281,0.012855736053893419
282,0.012946588909205956
283,0.01303776166851609
284,0.013129254331823824
285,0.01322106689912916
286,0.013313199370432094
287,0.013405651745732631
288,0.013498424025030768
289,0.013591516208326505
290,0.013684928295619842
291,0.01377866028691078
292,0.013872712182199322
293,0.01396708398148546
294,0.0140617756847692
295,0.01415678729205054
296,0.01425211880332948
297,0.014347770218606021
298,0.014443741537880162
299,0.014540032761151905
300,0.014636643888421246
301,0.01473357491968819
302,0.014830825854952732
303,0.01492839669421488
304,0.015026287437474624
305,0.015124498084731968
306,0.015223028635986914
307,0.015321879091239459
308,0.015421049450489605
309,0.015520539713737352
310,0.015620349880982699
311,0.015720479952225648
312,0.015820929927466195
313,0.015921699806704343
314,0.016022789589940092
315,0.016124199277173443
316,0.01622592886840439
317,0.016327978363632943
318,0.0164303477628591
319,0.01653303706608285
320,0.016636046273304204
321,0.016739375384523157
322,0.016843024399739708
323,0.01694699331895386
324,0.017051282142165617
325,0.01715589086937497
326,0.017260819500581923
327,0.01736606803578648
328,0.017471636474988634
329,0.017577524818188393
330,0.01768373306538575
331,0.017790261216580706
332,0.01789710927177326
333,0.01800427723096342
334,0.01811176509415118
335,0.01821957286133654
336,0.0183277005325195
337,0.018436148107700057
338,0.018544915586878225
339,0.018654002970053988
340,0.018763410257227348
341,0.01887313744839831
342,0.018983184543566872
343,0.019093551542733036
344,0.0192042384458968
345,0.019315245253058163
346,0.019426571964217126
347,0.01953821857937369
348,0.019650185098527857
349,0.019762471521679623
350,0.01987507784882899
351,0.019988004079975957
352,0.020101250215120523
353,0.02021481625426269
354,0.02032870219740246
355,0.02044290804453983
356,0.020557433795674797
357,0.020672279450807365
358,0.020787445009937535
359,0.020902930473065316
360,0.021018735840190688
361,0.021134861111313658
362,0.02125130628643423
363,0.021368071365552403
364,0.021485156348668176
365,0.02160256123578155
366,0.02172028602689252
367,0.021838330722001097
368,0.02195669532110727
369,0.022075379824211046
370,0.02219438423131242
371,0.0223137085424114
372,0.022433352757507977
373,0.022553316876602152
374,0.022673600899693933
375,0.02279420482678331
376,0.02291512865787029
377,0.023036372392954866
378,0.023157936032037047
379,0.023279819575116836
380,0.023402023022194216
381,0.023524546373269197
382,0.02364738962834178
383,0.023770552787411962
384,0.023894035850479743
385,0.024017838817545125
386,0.024141961688608108
387,0.024266404463668692
388,0.024391167142726877
389,0.024516249725782664
390,0.024641652212836047
391,0.024767374603887036
392,0.024893416898935622
393,0.02501977909798181
394,0.025146461201025594
395,0.025273463208066983
396,0.02540078511910597
397,0.02552842693414256
398,0.025656388653176748
399,0.025784670276208538
400,0.025913271803237936
401,0.02604219323426493
402,0.02617143456928952
403,0.02630099580831171
404,0.026430876951331502
405,0.026561077998348896
406,0.02669159894936389
407,0.026822439804376482
408,0.026953600563386675
409,0.02708508122639447
410,0.027216881793399865
411,0.02734900226440286
412,0.02748144263940346
413,0.027614202918401654
414,0.02774728310139745
415,0.027880683188390848
416,0.028014403179381846
417,0.028148443074370443
418,0.028282802873356643
419,0.02841748257634044
420,0.02855248218332185
421,0.028687801694300852
422,0.028823441109277453
423,0.028959400428251653
424,0.029095679651223456
425,0.029232278778192858
426,0.02936919780915986
427,0.029506436744124464
428,0.02964399558308667
429,0.02978187432604647
430,0.029920072973003874
431,0.030058591523958882
432,0.030197429978911484
433,0.03033658833786169
434,0.0304760666008095
435,0.030615864767754904
436,0.030755982838697914
437,0.030896420813638522
438,0.03103717869257673
439,0.031178256475512537
440,0.03131965416244595
441,0.03146137175337697
442,0.031603409248305576
443,0.03174576664723179
444,0.0318884439501556
445,0.03203144115707701
446,0.032174758267996026
447,0.03231839528291264
448,0.03246235220182685
449,0.03260662902473866
450,0.03275122575164808
451,0.032896142382555095
452,0.03304137891745971
453,0.03318693535636192
454,0.033332811699261736
455,0.033479007946159156
456,0.033625524097054174
457,0.03377236015194679
458,0.03391951611083701
459,0.03406699197372483
460,0.03421478774061024
461,0.03436290341149328
462,0.034511338986373895
463,0.03466009446525212
464,0.03480916984812794
465,0.034958565135001354
466,0.035108280325872376
467,0.035258315420741
468,0.03540867041960723
469,0.03555934532247105
470,0.03571034012933247
471,0.03586165484019149
472,0.03601328945504812
