,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.01,4.765734446356602,4.770862877250261,4.702538492974759,4.773932562350386
0.02,4.664759778436016,4.664981258318205,4.615752615855534,4.660403389069894
0.03,4.561716546082451,4.5605036227060225,4.536077213266421,4.564647142788299
0.04,4.489193872856262,4.486077754894585,4.454529336620809,4.488043975211204
0.05,4.412712521944687,4.409665313821632,4.3804576992528315,4.413379301400485
0.06,4.340839578337775,4.342325961308068,4.3079925721968015,4.340741927441398
0.07,4.2729119464333545,4.271129773202754,4.247355509585748,4.277379854385405
0.08,4.209852287185265,4.207767271222557,4.188738577426226,4.211096379854744
0.09,4.143467559067255,4.141243887854373,4.131643987540057,4.14824798729584
0.1,4.086648079392551,4.087930752986309,4.0694755755385055,4.092273218046898
0.11,4.033178768067783,4.029355945185132,4.019501672842384,4.036509112558808
0.12,3.9807404739864967,3.9781884704347568,3.9745223498070152,3.985357109176155
0.13,3.934279121034237,3.931533394362807,3.935213522167366,3.931913795772212
0.14,3.877391893170536,3.880814077012751,3.891333798282692,3.881214497321712
0.15,3.8325773109551284,3.8277527912140497,3.84375044463368,3.8372720263180864
0.16,3.7873402208326175,3.782259057692931,3.8028705902401856,3.792282348487887
0.17,3.752509109692368,3.749499480367811,3.764356087119441,3.7496332651540505
0.18,3.719358949474806,3.713892510526529,3.7167909505323973,3.7100180202714883
0.19,3.6755464078675817,3.6714265581711936,3.674957423006207,3.6712844472929818
0.2,3.627023530580537,3.624533650167676,3.6325114935778404,3.6294947479936686
0.21,3.5793169985647877,3.5830203610554454,3.5889995600671556,3.587269958374785
0.22,3.5498808471218886,3.5516378565968134,3.548839299867241,3.5483161792836766
0.23,3.5130480014640413,3.5108334492616184,3.5071231409985,3.509928359613009
0.24,3.468966609739712,3.47225272374523,3.4664530645012204,3.470810395546284
0.25,3.4334037365342316,3.4312246811705958,3.4218777695438494,3.4304453388524605
0.26,3.386949933831173,3.388759848051869,3.3864006216116542,3.3896582026038056
0.27,3.3513357393314345,3.3481646312849684,3.3475393145104237,3.3460648285530077
0.28,3.31306569338813,3.309679721580785,3.306158744268633,3.3081763742085246
0.29,3.2716317866146176,3.2693468596547555,3.2740215360484948,3.2677611675917366
0.3,3.222591819234539,3.2310618431334794,3.234894628402934,3.227035066485953
0.31,3.186478185902088,3.182561851266222,3.1958430490002945,3.1866421949445622
0.32,3.146343942427917,3.1458812687949522,3.154084223582867,3.1489562906208834
0.33,3.1131391959441164,3.1093234608264195,3.124014552013454,3.113921355871369
0.34,3.0790138291150053,3.0791532070474963,3.091434339552562,3.0791173104826313
0.35,3.0432728108218585,3.0406997351646226,3.055668027749051,3.0440642000819156
0.36,3.008190704884684,3.006762075122987,3.0224027611237214,3.011201299182524
0.37,2.9794013241799218,2.976353437246603,2.9897473415580516,2.977504464131979
0.38,2.9420464909698785,2.9401870924784665,2.954900185891817,2.9426268869584535
0.39,2.9115847298953392,2.9132059314978602,2.9210563998406838,2.909881184664145
0.4,2.8877780040215066,2.88324555071667,2.888242758779165,2.8796398896650803
0.41,2.849959850742304,2.84681095428971,2.8575148583971384,2.845991497820286
0.42,2.814469011002394,2.815513022831282,2.8267086011206515,2.8125008102538627
0.43,2.783638818135301,2.782364440690365,2.7971530734205885,2.7792926540666065
0.44,2.747999626186525,2.749801610270625,2.7610159689718876,2.7458022124054726
0.45,2.7143005423900597,2.716898826178954,2.724691018926753,2.7117369787485126
0.46,2.687802152400129,2.6845817088382105,2.6951410333358963,2.6793845230990057
0.47,2.6446754591758928,2.6465529899827382,2.662625188138623,2.646271288822861
0.48,2.6069316860619343,2.6098036660239257,2.6274870763270926,2.609769814388489
0.49,2.5823978915216297,2.5787294487679855,2.5935328053074085,2.5726594010776505
0.5,2.544546272269414,2.541568598700427,2.5574725654465142,2.5386767398360908
0.51,2.5007590342028165,2.505618606528859,2.5252452720140273,2.502371906947732
0.52,2.4744228725570827,2.4729572708964467,2.4876254310152577,2.4704942104870913
0.53,2.438625533480444,2.4347631539305548,2.4482729340901734,2.4379182168630944
0.54,2.40429682005421,2.4036458766561672,2.414830720632071,2.405951840546789
0.55,2.3622065516845763,2.3706212101622,2.380645737464213,2.3721968109739615
0.56,2.338555626239242,2.340586416992034,2.347771878535193,2.3377462469006973
0.57,2.3026657455851662,2.303997579731903,2.3123438161212486,2.302055356327425
0.58,2.2703918224864963,2.2728342732858726,2.276583788119253,2.268718085117379
0.59,2.238255844495533,2.2422985642096007,2.242851735598253,2.2368613651831417
0.6,2.204785002715072,2.207352349542271,2.2089242070245123,2.203696416825412
0.61,2.1641394848811557,2.163420976575138,2.1740222081204683,2.1656545476071676
0.62,2.135143288545027,2.1341699305125044,2.1396531139867077,2.1319860510783823
0.63,2.098912422277206,2.0954098127982577,2.108561718140132,2.101082444010399
0.64,2.069030091873153,2.064121551090417,2.0789908574869123,2.0688580468186775
0.65,2.029456097353161,2.028361919422602,2.0441597552166253,2.0332168802080037
0.66,1.99308963267709,1.993257009495446,2.0109196181007887,1.9966249474960398
0.67,1.9603090265868401,1.9566838856463258,1.97897201661804,1.9599541208528852
0.68,1.9272935465041932,1.926551482363249,1.941190349414434,1.9278138604293762
0.69,1.9000954319964283,1.8966483508078422,1.9082849093091245,1.8964948655540297
0.7,1.8682846249063347,1.868827731724244,1.8724512793827186,1.8625485970787774
0.71,1.8274646350797226,1.8268108653095003,1.8410032969136976,1.830014010982139
0.72,1.7925202701896,1.7963670942620846,1.8097727823853302,1.7961101542221782
0.73,1.7542731810873455,1.758513552600506,1.7718783733267771,1.760625864059098
0.74,1.7202322954338993,1.719338041420534,1.7234228435194143,1.7215166161841258
0.75,1.6810436697537001,1.6834526963571765,1.6798889536999888,1.6804300998408344
0.76,1.6422149053123296,1.6440882508509769,1.636939769712132,1.640444824440771
0.77,1.6006037717248656,1.5995831682359558,1.601122038206553,1.5997688136758714
0.78,1.560560029220033,1.561415453689284,1.5667067461642707,1.5580033840482543
0.79,1.5139857286088019,1.5169955996566236,1.5313215825615023,1.518626173970193
0.8,1.4774220391597788,1.4769838077600974,1.4828317182402364,1.4795968191619482
0.81,1.4367970294372365,1.4324878317883154,1.4453691075593629,1.4379538715941247
0.82,1.3946787027062924,1.3950712587696594,1.401945320018377,1.3957057065203249
0.83,1.3506439388770328,1.348382607215841,1.3614067073989369,1.3485327463102192
0.84,1.3046025430715034,1.310402514712447,1.3170905673876325,1.3033996362686076
0.85,1.2601582291964197,1.2597408105354153,1.2674011135670318,1.2585191744346522
0.86,1.2052137622757066,1.2048851609466047,1.2160731910558369,1.209929906413734
0.87,1.1533670404829763,1.1529666136805539,1.1583886578126232,1.1583326658180304
0.88,1.1128219205676497,1.114548182842261,1.1036417418587547,1.1110772548254728
0.89,1.0581052875413821,1.0579907257202845,1.0494186160428498,1.0540983866006233
0.9,0.9965034387208329,1.001259104336301,0.9944199074417769,1.000099105498088
0.91,0.9475850915837675,0.9516352657312824,0.9374045612951286,0.9448113735427288
0.92,0.8861604695768001,0.8849387524840034,0.8794587979327952,0.8784918754776861
0.93,0.8176854445497218,0.8184827841012414,0.8166893431776571,0.8149660822721266
0.94,0.7436810857811946,0.7476329543401942,0.7512842471255274,0.7552385905952975
0.95,0.6819955720284758,0.6807132216288887,0.6678862645931453,0.6863478226332517
0.96,0.6000228426855142,0.599475697730438,0.5828515669032358,0.5999810424878744
0.97,0.5081525518693004,0.510452694837473,0.48262881228136906,0.5087342947765463
0.98,0.40112992965826655,0.4045695958143639,0.38016399252557104,0.40109210494483466
0.99,0.2652479053454069,0.2728600175552296,0.2625290239780478,0.2758441513108841
